s1_id,entity_type,error_type,num_true_matches,num_pred_matches,top_probability,second_probability,margin,has_address,country
S1-969040600,multi_match,underprediction,3,1,0.9988,0.0,0.9988,True,INDIA
S1-562931942,multi_match,false_negative_miss,5,0,0.0002,0.0002,0.0,True,US
S1-930291387,single_match,perfect,1,1,0.9808,0.0327,0.9481,True,US
S1-545634557,multi_match,underprediction,3,1,0.9455,0.7233,0.2221,True,US
S1-339239400,multi_match,underprediction,6,1,0.9868,0.9645,0.0224,True,US
S1-861886275,multi_match,false_negative_miss,4,0,0.2411,0.0379,0.2031,True,INDIA
S1-763669399,multi_match,underprediction,6,1,0.9985,0.2,0.7985,True,INDIA
S1-244953027,multi_match,underprediction,5,1,0.9989,0.9974,0.0015,True,US
S1-538738187,multi_match,false_negative_miss,2,0,0.0009,0.0004,0.0006,True,INDIA
S1-143147061,multi_match,underprediction,3,1,0.9998,0.9957,0.0041,True,US
S1-369480194,multi_match,false_negative_miss,3,0,0.0002,0.0002,0.0001,True,US
S1-899778105,multi_match,underprediction,4,2,0.9998,0.9997,0.0001,True,US
S1-61669553,multi_match,false_negative_miss,3,0,0.0698,0.0001,0.0697,True,INDIA
S1-955004631,single_match,false_negative_miss,1,0,0.0002,0.0001,0.0001,True,US
S1-537812456,single_match,perfect,1,1,0.9985,0.3982,0.6002,True,US
S1-847584830,multi_match,underprediction,5,2,0.9999,0.9969,0.003,True,US
S1-675314540,multi_match,underprediction,2,1,0.9997,0.9996,0.0001,True,US
S1-317364233,multi_match,false_negative_miss,3,0,0.0002,0.0002,0.0,True,US
S1-223460029,singleton,perfect,0,0,0.0056,0.0014,0.0042,True,US
S1-74028110,singleton,perfect,0,0,0.3674,0.0003,0.3671,True,INDIA
S1-101578004,multi_match,false_negative_miss,3,0,0.0002,0.0001,0.0001,True,US
S1-193281449,multi_match,underprediction,5,1,0.9907,0.0043,0.9864,True,INDIA
S1-124783178,multi_match,underprediction,3,1,0.9991,0.0002,0.9988,True,US
S1-344412282,multi_match,underprediction,2,1,0.9979,0.0001,0.9978,True,US
S1-113843060,multi_match,underprediction,3,2,0.9998,0.9993,0.0005,True,INDIA
S1-746273418,multi_match,false_negative_miss,3,0,0.3099,0.0032,0.3067,True,US
S1-433479222,multi_match,false_negative_miss,3,0,0.0,0.0,0.0,True,US
S1-877250391,multi_match,underprediction,4,1,0.9998,0.7694,0.2304,True,US
S1-980158642,multi_match,underprediction,2,1,0.5451,0.008,0.5371,True,US
S1-381509456,multi_match,false_negative_miss,3,0,0.0282,0.0001,0.0281,True,INDIA
S1-324390305,multi_match,underprediction,5,1,0.9997,0.9917,0.008,True,INDIA
S1-546999345,singleton,perfect,0,0,0.0033,0.0003,0.0029,True,US
S1-579010741,multi_match,underprediction,5,2,0.9996,0.9985,0.001,True,US
S1-460194283,multi_match,underprediction,3,1,0.9254,0.0,0.9254,True,INDIA
S1-172286596,multi_match,underprediction,2,1,0.9993,0.0003,0.999,True,US
S1-119458643,multi_match,underprediction,5,2,0.9998,0.9974,0.0024,True,INDIA
S1-752798879,multi_match,underprediction,4,1,0.9989,0.9592,0.0397,True,US
S1-865781108,multi_match,underprediction,4,2,0.9998,0.9998,0.0,True,US
S1-11654007,singleton,perfect,0,0,0.0002,0.0001,0.0001,True,INDIA
S1-63324468,multi_match,false_negative_miss,4,0,0.0002,0.0002,0.0,True,US
S1-857884794,multi_match,false_negative_miss,3,0,0.3974,0.0013,0.396,True,INDIA
S1-644463381,multi_match,perfect,2,2,0.9998,0.9908,0.009,True,US
S1-65666089,multi_match,underprediction,2,1,0.9999,0.4254,0.5744,True,INDIA
S1-363906881,multi_match,underprediction,5,2,0.9993,0.9951,0.0042,True,US
S1-568186564,multi_match,underprediction,5,1,0.9997,0.9994,0.0003,True,INDIA
S1-763442560,multi_match,perfect,2,2,0.9995,0.9627,0.0368,True,US
S1-800401160,multi_match,underprediction,2,1,0.9996,0.1868,0.8128,True,US
S1-371078031,single_match,false_negative_miss,1,0,0.0001,0.0001,0.0001,True,INDIA
S1-828055540,multi_match,underprediction,4,1,0.8341,0.7425,0.0916,True,INDIA
S1-558848019,multi_match,underprediction,4,2,0.9994,0.9907,0.0087,True,INDIA
S1-823685314,multi_match,underprediction,3,1,0.9995,0.9986,0.0008,True,US
S1-813558651,multi_match,underprediction,2,1,0.9993,0.6183,0.3811,True,US
S1-148844191,multi_match,underprediction,6,1,0.9991,0.993,0.0061,True,INDIA
S1-315006856,singleton,false_positive_merge,0,1,0.5657,0.0003,0.5654,True,INDIA
S1-132525577,multi_match,underprediction,3,2,0.9976,0.994,0.0036,True,US
S1-419022356,multi_match,underprediction,3,1,0.996,0.4452,0.5508,True,US
S1-403426917,multi_match,false_negative_miss,4,0,0.0102,0.0013,0.0089,True,INDIA
S1-90918565,multi_match,underprediction,4,1,0.9846,0.0004,0.9842,True,INDIA
S1-809164611,multi_match,underprediction,4,1,0.9979,0.0289,0.969,True,US
S1-43545719,multi_match,underprediction,5,1,0.9995,0.5371,0.4623,True,INDIA
S1-947899410,multi_match,false_negative_miss,2,0,0.0,0.0,0.0,True,INDIA
S1-301942367,multi_match,underprediction,2,1,0.9996,0.0008,0.9989,True,US
S1-454637338,multi_match,underprediction,3,1,0.9891,0.0005,0.9886,True,US
S1-732890689,multi_match,underprediction,4,1,0.9999,0.0106,0.9893,True,US
S1-425723065,multi_match,perfect,2,2,0.9882,0.966,0.0222,True,US
S1-855675332,multi_match,false_negative_miss,3,0,0.0001,0.0001,0.0,True,US
