feature_name,dtype,nan_rate,inf_rate,is_constant,min_val,max_val,mean_val,std_val
name_exact_raw,float64,0.0,0.0,False,0.0,1.0,0.1232,0.3287
name_exact_norm,float64,0.0,0.0,False,0.0,1.0,0.2854,0.4516
name_fuzz_ratio,float64,0.0,0.0,False,0.0,1.0,0.6494,0.2746
name_fuzz_wratio,float64,0.0,0.0,False,0.0,1.0,0.7333,0.2487
name_fuzz_token_sort,float64,0.0,0.0,False,0.0,1.0,0.6584,0.2812
name_fuzz_token_set,float64,0.0,0.0,False,0.0,1.0,0.704,0.2819
name_fuzz_partial_ratio,float64,0.0,0.0,False,0.0,1.0,0.7302,0.2379
name_levenshtein_sim,float64,0.0,0.0,False,0.0,1.0,0.5502,0.3342
name_jaccard_token,float64,0.0,0.0,False,0.0,1.0,0.4428,0.4268
name_overlap_token,float64,0.0,0.0,False,0.0,1.0,0.5174,0.4277
name_char_ngram_jaccard,float64,0.0,0.0,False,0.0,1.0,0.4554,0.4086
name_token_count_diff,float64,0.0,0.0,False,0.0,14.0,0.7558,0.9897
name_len_ratio,float64,0.0,0.0,False,0.0435,1.0,0.7939,0.2219
addr_exact_raw,float64,0.0,0.0,False,0.0,1.0,0.0119,0.1083
addr_exact_norm,float64,0.0,0.0,False,0.0,1.0,0.0515,0.221
addr_fuzz_ratio,float64,0.0,0.0,False,0.0,1.0,0.5066,0.2155
addr_fuzz_wratio,float64,0.0,0.0,False,0.0,1.0,0.7125,0.2191
addr_fuzz_token_sort,float64,0.0,0.0,False,0.0,1.0,0.5235,0.2253
addr_fuzz_token_set,float64,0.0,0.0,False,0.0,1.0,0.5524,0.2364
addr_fuzz_partial_ratio,float64,0.0,0.0,False,0.0,1.0,0.5753,0.201
addr_levenshtein_sim,float64,0.0,0.0,False,0.0,1.0,0.3828,0.2447
addr_jaccard_token,float64,0.0,0.0,False,0.0,1.0,0.2137,0.2853
addr_overlap_token,float64,0.0,0.0,False,0.0,1.0,0.3144,0.3091
addr_char_ngram_jaccard,float64,0.0,0.0,False,0.0,1.0,0.2317,0.3082
addr_token_count_diff,float64,0.0,0.0,False,0.0,24.0,2.5514,2.9374
addr_len_ratio,float64,0.0,0.0,False,0.0,1.0,0.7249,0.2131
country_exact_match,float64,0.0,0.0,False,0.0,1.0,0.8812,0.3236
country_mismatch,float64,0.0,0.0,False,0.0,1.0,0.1188,0.3236
postal_exact_match,float64,0.0,0.0,False,0.0,1.0,0.1371,0.344
building_exact_match,float64,0.0,0.0,False,0.0,1.0,0.4028,0.4905
numeric_token_overlap,float64,0.0,0.0,False,0.0,1.0,0.4081,0.4393
numeric_token_exact_match,float64,0.0,0.0,False,0.0,1.0,0.3178,0.4656
s1_has_address,float64,0.0,0.0,True,1.0,1.0,1.0,0.0
target_has_address,float64,0.0,0.0,False,0.0,1.0,0.9914,0.0922
both_have_address,float64,0.0,0.0,False,0.0,1.0,0.9914,0.0922
target_is_s2,float64,0.0,0.0,False,0.0,1.0,0.7444,0.4362
exact_name_hit,float64,0.0,0.0,False,0.0,1.0,0.2061,0.4045
exact_address_hit,float64,0.0,0.0,False,0.0,1.0,0.0393,0.1944
name_token_hit,float64,0.0,0.0,False,0.0,1.0,0.2876,0.4527
address_token_hit,float64,0.0,0.0,False,0.0,1.0,0.0453,0.2081
rare_token_hit,float64,0.0,0.0,False,0.0,1.0,0.3306,0.4704
postal_numeric_hit,float64,0.0,0.0,False,0.0,1.0,0.129,0.3352
cross_field_hit,float64,0.0,0.0,False,0.0,1.0,0.331,0.4706
name_tfidf_hit,float64,0.0,0.0,True,0.0,0.0,0.0,0.0
address_tfidf_hit,float64,0.0,0.0,True,0.0,0.0,0.0,0.0
route_hit_count,float64,0.0,0.0,False,1.0,7.0,1.369,0.5914
name_x_addr_wratio,float64,0.0,0.0,False,0.0,1.0,0.5153,0.2397
name_high_addr_high,float64,0.0,0.0,False,0.0,1.0,0.2599,0.4386
name_high_addr_low,float64,0.0,0.0,False,0.0,1.0,0.1234,0.3288
name_low_addr_high,float64,0.0,0.0,False,0.0,1.0,0.1182,0.3228
both_fields_present,float64,0.0,0.0,False,0.0,1.0,0.9914,0.0922
