feature_name,gain_importance,weight_importance,cover_importance
addr_fuzz_token_set,5390.0063,365.0,4473.353
addr_fuzz_wratio,330.3429,133.0,3821.9631
name_fuzz_wratio,288.9678,250.0,1076.1202
addr_fuzz_ratio,213.385,150.0,2069.9409
numeric_token_overlap,116.5917,532.0,1450.9935
addr_overlap_token,106.5765,352.0,3671.5273
name_jaccard_token,95.6535,561.0,674.2485
name_fuzz_token_sort,92.0767,454.0,916.4378
name_x_addr_wratio,90.1565,301.0,1410.3075
name_fuzz_token_set,58.7198,308.0,902.3016
name_fuzz_partial_ratio,55.2448,695.0,793.4548
addr_len_ratio,46.8668,356.0,634.0118
name_len_ratio,38.8766,543.0,745.9134
building_exact_match,33.6303,105.0,1040.0601
addr_fuzz_partial_ratio,32.1276,282.0,1238.9207
addr_char_ngram_jaccard,31.9152,405.0,3190.9561
route_hit_count,31.4808,51.0,1529.9814
name_token_count_diff,30.8479,269.0,647.8163
rare_token_hit,29.4159,208.0,423.1294
name_overlap_token,28.135,163.0,730.856
target_is_s2,26.9258,291.0,577.4871
cross_field_hit,21.0846,19.0,180.0969
name_char_ngram_jaccard,20.1609,440.0,403.3101
name_fuzz_ratio,18.739,246.0,256.5729
addr_jaccard_token,15.6655,247.0,555.7859
name_token_hit,13.2649,41.0,662.7853
name_high_addr_low,13.1075,1.0,20.5181
addr_exact_raw,13.1015,18.0,182.3469
name_levenshtein_sim,12.5118,328.0,610.3943
addr_levenshtein_sim,11.0598,239.0,796.6092
exact_name_hit,10.4501,16.0,1933.5665
addr_fuzz_token_sort,9.9793,212.0,466.9433
postal_numeric_hit,8.9541,15.0,48.7115
name_high_addr_high,7.1733,2.0,45.6353
addr_token_count_diff,6.9964,250.0,206.3273
name_exact_raw,6.3087,80.0,810.4493
address_token_hit,5.842,3.0,16.3649
country_exact_match,5.0469,20.0,3823.5266
postal_exact_match,4.996,15.0,101.4154
exact_address_hit,3.2531,3.0,12.8525
name_low_addr_high,2.8374,5.0,18.6238
addr_exact_norm,2.0494,3.0,10.6846
name_exact_norm,0.0,0.0,0.0
both_have_address,0.0,0.0,0.0
target_has_address,0.0,0.0,0.0
s1_has_address,0.0,0.0,0.0
numeric_token_exact_match,0.0,0.0,0.0
country_mismatch,0.0,0.0,0.0
address_tfidf_hit,0.0,0.0,0.0
name_tfidf_hit,0.0,0.0,0.0
both_fields_present,0.0,0.0,0.0
