s1_id,candidate_id,predicted_probability,true_label,name_similarity,address_similarity,country,category,blocking_routes
S1-506586052,S2-49015067,0.9998,0,1.0,0.0,INDIA,same_name_diff_address,1
S1-270207537,S2-821378679,0.9998,0,0.95,0.0,US,same_name_diff_address,1
S1-453469555,S2-360172746,0.9998,0,0.95,0.0,INDIA,same_name_diff_address,1
S1-223058167,S2-466982496,0.9998,0,0.95,0.0,US,same_name_diff_address,1
S1-582094001,S2-859128761,0.9998,0,0.9444,0.0,US,same_name_diff_address,1
S1-166253399,S2-216631287,0.9998,0,0.9091,0.0,US,same_name_diff_address,1
S1-911925588,S2-941306924,0.9998,0,0.9552,0.0,INDIA,same_name_diff_address,1
S1-539775909,S2-297108589,0.9998,0,0.9592,0.0,INDIA,same_name_diff_address,1
S1-881107349,S2-801910622,0.9998,0,0.95,0.0,US,same_name_diff_address,1
S1-361604093,S2-995443829,0.9998,0,0.9655,0.0,US,same_name_diff_address,1
S1-30733926,S2-256653307,0.9998,0,0.9565,0.0,INDIA,same_name_diff_address,1
S1-573355607,S3-354255731,0.9998,0,0.9773,0.0,US,same_name_diff_address,1
S1-155387732,S2-651729006,0.9998,0,0.9615,0.0,US,same_name_diff_address,1
S1-510855574,S2-252316043,0.9998,0,0.95,0.0,US,same_name_diff_address,1
S1-847764834,S2-186601680,0.9998,0,0.9268,0.0,US,same_name_diff_address,1
S1-794484965,S3-261118600,0.9998,0,0.9818,0.0,US,same_name_diff_address,1
S1-865379900,S2-973620058,0.9998,0,0.9087,0.0,INDIA,same_name_diff_address,1
S1-37823226,S2-312612739,0.9998,0,0.9778,0.0,US,same_name_diff_address,1
S1-582013723,S2-107939389,0.9997,0,0.9647,0.0,US,same_name_diff_address,1
S1-468260711,S2-778509306,0.9997,0,1.0,0.0,US,same_name_diff_address,1
S1-209627684,S2-643139114,0.9997,0,0.95,0.0,US,same_name_diff_address,1
S1-560756161,S3-334829863,0.9997,0,0.8475,0.0,INDIA,missing_address_collision,1
S1-286734300,S2-295164096,0.9997,0,0.95,0.0,US,same_name_diff_address,1
S1-468260711,S3-484981231,0.9997,0,1.0,0.0,US,same_name_diff_address,1
S1-553790232,S3-718710829,0.9997,0,1.0,0.0,US,same_name_diff_address,1
S1-546808066,S3-629621118,0.9997,0,1.0,0.0,US,same_name_diff_address,1
S1-795249284,S2-551106010,0.9997,0,0.95,0.0,US,same_name_diff_address,1
S1-709525535,S2-857019862,0.9997,0,0.95,0.0,US,same_name_diff_address,1
S1-423729253,S2-981537858,0.9997,0,0.95,0.0,INDIA,same_name_diff_address,1
S1-704867501,S2-107846168,0.9997,0,0.95,0.0,US,same_name_diff_address,1
