s1_id,true_id,source,current_status,name_tfidf,address_tfidf,char_ngram,token_retrieval,numeric,multiscript,rescued_by,reason_if_still_missed
S1-29956173,S2-563124866,S2,HIT,1,1,1,1,0,0,already_hit,
S1-369859179,S2-531916510,S2,HIT,0,1,0,0,0,0,already_hit,
S1-204099765,S2-854527759,S2,HIT,1,1,1,1,0,0,already_hit,
S1-824324746,S2-192713839,S2,HIT,0,1,0,1,0,0,already_hit,
S1-611958238,S2-466655331,S2,HIT,1,0,1,1,0,0,already_hit,
S1-197934161,S2-121793836,S2,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-990633874,S3-81536211,S3,HIT,1,1,1,1,0,0,already_hit,
S1-126927804,S3-955130682,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-891958084,S3-52108377,S3,HIT,1,1,1,0,0,0,already_hit,
S1-947119891,S3-128064048,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-332388880,S3-743841292,S3,HIT,1,1,1,0,0,0,name_tfidf+address_tfidf,
S1-719801396,S2-547877399,S2,HIT,1,0,1,0,0,0,already_hit,
S1-304071988,S3-658656892,S3,HIT,1,1,1,0,0,0,already_hit,
S1-971634037,S2-128347157,S2,HIT,0,1,0,0,0,0,already_hit,
S1-420226248,S2-761652097,S2,HIT,1,1,1,1,0,0,already_hit,
S1-809024061,S2-730625481,S2,HIT,1,0,1,1,0,0,already_hit,
S1-423558479,S2-912283679,S2,HIT,1,1,1,1,0,0,already_hit,
S1-341506266,S2-762225006,S2,HIT,1,1,1,0,0,0,already_hit,
S1-291219991,S3-28417545,S3,HIT,0,1,0,0,0,0,address_tfidf,
S1-645147697,S2-954505074,S2,HIT,0,1,0,0,0,0,address_tfidf,
S1-118929976,S2-832756554,S2,HIT,1,0,1,0,0,0,name_tfidf,
S1-644993010,S2-139518450,S2,HIT,1,1,1,0,0,0,already_hit,
S1-411964161,S2-901443376,S2,HIT,1,1,1,1,1,0,already_hit,
S1-723559599,S2-55901816,S2,HIT,1,1,1,0,0,0,already_hit,
S1-658151638,S2-538524338,S2,MISSED,0,0,0,0,0,0,none,extreme_distortion_or_disjoint_tokens
S1-39787756,S2-912305831,S2,HIT,1,0,1,0,0,0,name_tfidf,
