s1_id,target_id,target_source,s1_name,target_name,name_fuzz_ratio,name_token_overlap,s1_address,target_address,addr_fuzz_ratio,addr_token_overlap,numeric_overlap,s1_country,target_country,failure_category
S1-658151638,S2-538524338,S2,Empire Foundation,empirefoundationcom,77.77777777777779,0,"43 Debbie Drive, Stafford County, VA","DEBBIE DR, FREDERICKSBURG, VA",30.76923076923077,2,0,US,US,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-558634684,S2-536166686,S2,Prime Food Private Limited,PRIME PRIVATE LIMITED SERVICE,18.181818181818176,3,"Plot No. 23, Zone-1 M.P. Nagar, Bhopal, Madhya Pradesh","NO 23 , ZONE-1 M.P. NAGAR, BHOPAL, मध्य प्रदेश",43.99999999999999,8,2,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-908551239,S3-719062371,S3,Sun Solutions Private Limited,सन सॉल्यूशंस प्राइवेट लिमिटेड,10.344827586206895,0,"F No. 403, Sudha Nill Aptt, New P P Colony, Patliputra, Patna, Bihar","बिहार, Patna, F No. 403",19.780219780219777,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-449643256,S3-463040798,S3,Ss Solutions Private Limited,எஸ்எஸ் சொல்யூஷன்ஸ் பிரைவேட் லிமிடெட்,9.375,0,"Oz-11/4, Sipcot, Hi-Tech Sez, Oragadam, Sriperumbudur Taluk, Kancheepuram Distri, Ct, Sriperumbudur, Tiruvallur, Tamil Nadu","Oz-11/4, Kanchipuram, TN",31.292517006802722,3,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-777555607,S3-10840656,S3,Digital Ventures Limited,डिजिटल वेंचर्स लिमिटेड,8.695652173913048,0,"New Delhi, Hari Nagar Extention Baderpur, South Delhi, 12-C, Delhi","12-C, N/A, South East, New Delhi, DL",37.254901960784316,5,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-424010232,S2-333616908,S2,Good Systems Private Limited,गुड Systems प्राइवेट लिमिटेड,35.71428571428571,1,"Pune, Sai Ambience, Maharashtra, Pune, B-1001, Pimple Saudagar","H.NO 587 SAI AMBIENCE, PUNE, महाराष्ट्र",19.8019801980198,3,0,India,India,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-824906869,S2-46591526,S2,New Impex Private Limited,ന്യൂ ഇംപെക്സ് പ്രൈവറ്റ് ലിമിറ്റഡ്,10.344827586206895,0,"475/A-19, Devagiri, Near Technopark Phase Iv, Mangalapuram, Chirayinkeezhu, Thiruvananthapuram, Trivandrum, Kerala","475/A-19, THIRUVANANTHAPURAM, TRIVANDRUM, കേരളം",23.60248447204969,5,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-355685907,S2-979678502,S2,"Regional Scientific, LLC",CENTER REGIONAL LLC,27.906976744186053,2,"1424 Cottage View Lane, Nashville, TN","COTTAGE VIEW LN, ANTIOCH, TN",36.92307692307693,3,0,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-933384875,S3-773914201,S3,Universal Agro Private Limited,Smt universalagrocom,48.0,0,"18/137 Mhb Colony, Sarvoday Nagar, Nr Hema Ind, Nr Samarth Vidyalay, Jogeshwari East, Mumbai, Mumbai City, Maharashtra","D/18/137 Mhb Colony, Mumbai, Vasai, महाराष्ट्र",37.80487804878049,5,2,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-327685774,S2-495893925,S2,Vantus Islands PC,Center Vantus PC,54.54545454545454,2,"4421 Florin Road, Sacramento, CA","PARKWAY, CA, 4421 FLORIN RD",27.118644067796616,3,1,US,US,Low Character N-gram Similarity (Sub-Top-K TF-IDF)
S1-746998714,S3-403266982,S3,Shyam Swastik Investments Pvt Ltd,श्याम स्वस्तिक इन्वेस्टमेंट्स प्रा. लि.,11.111111111111116,0,"Block 2A & 2B, Dlf Corporate Park, Dlf City Phase Iii, M.G. Road, Gurgaon, Haryana, India., Dlf Qe, Gurgaon, Haryana","Block 2A & 2B, Mg Road, Gurgaon, HR",43.70860927152318,6,0,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
S1-292649689,S3-110738950,S3,Global Services Private Limited,গ্লোবাল সার্ভিসেস প্রাইভেট লিমিটেড,9.230769230769232,0,"2-Floor, 2/D Panditya Road, Kolkata, Kolkata, Howrah, West Bengal","2-Floor., Howrah, N/A, WB, Kolkata",44.44444444444444,4,1,India,India,"Disjoint Business Name Tokens (Address Common, Name Sub-threshold)"
