s1_id	target_id	target_source	s1_name	s1_address	s1_country	target_country	shared_tokens	diagnosed_reason
S1-869464127	S2-317615649	S2	lakshmi ventures private limited	shop no 2 vasant mile stone veera desai road andheri w mumbai mumbai city maharashtra	india	india		empty_or_missing_name
S1-518941002	S2-669198326	S2	a cure 7 all inc	2500 ann julian court tn brentwood	us	us	cure,a,7	partial_token_overlap_unindexed
S1-723848968	S3-288894572	S3	apex select entergy lp	or 4050 hayesville drive unit 201 marion county	us	us	entergy,lp,apex	partial_token_overlap_unindexed
S1-257057513	S3-170744274	S3	physical therapy diamond medicine inc	ky carrollton 106 park avenue	us	us	inc,diamond,physical,therapy	partial_token_overlap_unindexed
S1-285068554	S3-625250594	S3	passion service private limited	maharashtra mumbai dahisar east build no 2 cabin no 1 plot b unit 115 diamoda gold diamond compound s v road dahisar east	india	india	service,passion,private	partial_token_overlap_unindexed
S1-979463930	S2-292776041	S2	teel highview lp	450 brady beach road russia ny	us	us	highview,teel	partial_token_overlap_unindexed
S1-242195439	S3-590734964	S3	dream infra limited	gat no 71 22 turkheda near mamurabad jalgaon jalgaon maharashtra	india	india		zero_shared_tokens_transliteration
S1-517944023	S2-895613133	S2	anchor creative advisors llc	1840 fairfield avenue chicago il	us	us	creative,llc,advisors	partial_token_overlap_unindexed
S1-474409913	S2-520519920	S2	frye and santana inc	108 tower street paola ks	us	us	santana,and,frye	partial_token_overlap_unindexed
S1-992538093	S2-241643735	S2	super producer private limited	anagha 2nd floor devasandra no 4 karnataka new bel road bangalore	india	india		zero_shared_tokens_transliteration
S1-426509164	S3-57463605	S3	lotus apex consultants private limited	6 150 u edayoor p o malappuram malappuram malapuram kerala	india	india		empty_or_missing_name
S1-50780963	S2-228279150	S2	super constructions private limited	sr no 81 1b chaitraban society new sangvi pune city pune maharashtra	india	india		empty_or_missing_name
S1-668624767	S3-848171904	S3	lemmon miller and haynes llc	salt lake city unit 10 ut 874 s temple street	us	us	lemmon,miller,and,haynes	partial_token_overlap_unindexed
S1-117866925	S3-308308098	S3	ho hernandez and nichols	105 cherokee drive thomasville nc	us	us	nichols,ho,and	partial_token_overlap_unindexed
S1-990629891	S2-486666860	S2	pinnacle coastal solid llc	spokane wa 3617 24th avenue	us	us	pinnacle,llc,coastal	partial_token_overlap_unindexed
S1-123659802	S3-212444566	S3	empire initiative iv	808 elias court chesapeake city va	us	us	empire,initiative	partial_token_overlap_unindexed
S1-392724608	S3-956419856	S3	one global pvt ltd	no 8 muni yelappa garden kodihalli halasuru bangalore north bangalore karnataka	india	india	one,pvt,ltd	partial_token_overlap_unindexed
S1-596426035	S3-497902523	S3	memorial program	6538 heather drive lockport ny	us	us	memorial,program	partial_token_overlap_unindexed
S1-70365948	S3-825355227	S3	jones and hurst l l c	1698 dunsinane circle ogden city ut	us	us	hurst,jones,c,l	partial_token_overlap_unindexed
S1-377673441	S3-516379	S3	sbg your llp	flat no 185c dg ii vikas puri new delhi west delhi delhi	india	india	llp,your,sbg	partial_token_overlap_unindexed
S1-288967379	S3-921031217	S3	north engineering private limited	plot no 321 8 imt manesar nsg camp manesar gurgaon haryana	india	india	north,limited,private	partial_token_overlap_unindexed
S1-651468741	S2-60612557	S2	flory s legacy mortgage associates	in brownsburg 6775 kara lane	us	us	associates,s,legacy,flory	partial_token_overlap_unindexed
S1-368890496	S3-693848739	S3	optimal highland lithium	633 closhire lane birmingham al	us	us	highland,optimal	partial_token_overlap_unindexed
S1-991361913	S3-769777885	S3	pl technologies limited	plot no 207 ground floor pkt n sector 5 delhi north west delhi delhi	india	india	pl,limited	partial_token_overlap_unindexed
S1-879885417	S3-772337016	S3	eye pacific specialists llc	347 3430 new harmony ut	us	us	pacific,eye,specialists	partial_token_overlap_unindexed
S1-95503899	S3-339095779	S3	unique investment limited	h no 1152 kashiprayag bumglow champa nagari jail road dasak nasik road nashik maharashtra	india	india	unique,investment	partial_token_overlap_unindexed
S1-334600861	S3-963020215	S3	sai biotech pvt ltd	door no 10 175 1 visalakshi nagar visakhapatnam vishakhapatnam andhra pradesh	india	india	pvt,ltd,sai	partial_token_overlap_unindexed
S1-935033929	S3-278967941	S3	chan fuse llc	woburn ma 13 scott street	us	us	chan,llc	partial_token_overlap_unindexed
S1-776560239	S2-421093065	S2	silver tech private limited	village and p o raghudevpur block ii nh 6 uluberiahowrah howrah west bengal	india	india		empty_or_missing_name
S1-618707493	S2-482053361	S2	octavia lee return l l c	204 mead drive fl 1 chandler az	us	us	lee,octavia,c,l	partial_token_overlap_unindexed
S1-375817052	S3-880879124	S3	digha pharmaceuticals private limited	c o ashutosh kumar ghurdaur road near b k institute digha ghat digha patna bihar	india	india		zero_shared_tokens_transliteration
S1-771438725	S3-233534470	S3	everest inc	622 marshall road vacaville ca	us	us	inc,everest	partial_token_overlap_unindexed
S1-665834015	S3-603009448	S3	orthopedic total care associates center	195 south street unit 3 boston ma	us	us	care,center,associates,orthopedic,total	partial_token_overlap_unindexed
S1-642510192	S3-660022548	S3	briggs skin care llc	120 80th street seattle wa	us	us	skin,briggs	partial_token_overlap_unindexed
S1-49636377	S2-669193683	S2	trading infocom limited	1102 shri kripalu apartments sector 52 gurgaon gurgaon haryana	india	india	infocom,trading	partial_token_overlap_unindexed
S1-780690767	S3-25298857	S3	harbor fund	4862 sunnyview road salem or	us	us	harbor	partial_token_overlap_unindexed
S1-911341652	S3-55880086	S3	voss best concepts	803 wolcott road wolcott ct	us	us	voss,concepts,best	partial_token_overlap_unindexed
S1-490748403	S3-132858079	S3	pioneer care private limited	r 24 rita block shakarpur new delhi delhi	india	india	care,pioneer	partial_token_overlap_unindexed
S1-123161329	S3-898253796	S3	red tavern	6850 enville road henderson tn	us	us	red,tavern	partial_token_overlap_unindexed
S1-75963451	S3-614766267	S3	standard automation advisors group	629 barbados drive unit apt 6 indianapolis in	us	us	standard,group,advisors	partial_token_overlap_unindexed
S1-640746766	S2-77704551	S2	deco steel limited	sco 7 first floor metro city plaza market rajpura mohali punjab	india	india	deco,steel	partial_token_overlap_unindexed
S1-142759990	S3-303390511	S3	sun ventures private limited	8 2 293 82 pn 198 rd no7 shaikpet golconda mandal shaikpet hyderabad telangana	india	india		zero_shared_tokens_transliteration
S1-562176993	S3-548368490	S3	bishop hoffmann and ketner focus llc	3875 dobbins road unit 2134 phoenix az	us	us	llc,focus,and,hoffmann,bishop	partial_token_overlap_unindexed
S1-600079333	S2-327558167	S2	environmental project ii associates	1651 52nd street sacramento ca	us	us	environmental,project,associates,ii	partial_token_overlap_unindexed
S1-529322998	S3-218226748	S3	quinn and hudnall inc	5928 oakland park drive fairfax county va	us	us	hudnall,and,quinn	partial_token_overlap_unindexed
S1-714165136	S3-88534199	S3	vadodara infosolutions private limited	gf 2 3 7 sarswati complex 39 sampatrao colony alkapuri vadodara gujarat	india	india	vadodara,limited,infosolutions	partial_token_overlap_unindexed
S1-82597331	S3-884284014	S3	padilla hossain and baughman water inc	11022 honey suckle haven drive cypress tx	us	us	baughman,and,padilla,hossain	partial_token_overlap_unindexed
