threshold,macro_f0.5,macro_precision,macro_recall,singleton_f0.5,single_match_f0.5,multi_match_f0.5,S2_f0.5,S3_f0.5,average_predictions_per_S1,percentage_abstaining,false_positive_singleton_rate
0.01,0.4636,0.5222,0.4456,0.4022,0.2749,0.4785,0.478,0.4727,2.9569,15.5,0.5978
0.02,0.472,0.5334,0.4466,0.4257,0.2805,0.4861,0.4856,0.4803,2.8455,16.21,0.5743
0.03,0.477,0.5399,0.447,0.4384,0.2863,0.4905,0.4902,0.4848,2.7825,16.59,0.5616
0.04,0.4804,0.5443,0.4473,0.4457,0.2889,0.4938,0.4935,0.488,2.7409,16.8,0.5543
0.05,0.4831,0.548,0.4472,0.4457,0.2922,0.4967,0.4963,0.4909,2.7096,16.86,0.5543
0.06,0.4851,0.5506,0.4471,0.4475,0.2958,0.4985,0.4983,0.4927,2.684,16.98,0.5525
0.07,0.4869,0.553,0.4472,0.4511,0.2985,0.5002,0.5,0.4945,2.6623,17.06,0.5489
0.08,0.4879,0.5543,0.4472,0.4547,0.2988,0.5011,0.5009,0.4953,2.6494,17.11,0.5453
0.09,0.4896,0.5563,0.4474,0.4601,0.3016,0.5024,0.5022,0.4968,2.6332,17.16,0.5399
0.1,0.4909,0.5579,0.4476,0.4656,0.3039,0.5035,0.5033,0.4979,2.6197,17.25,0.5344
0.11,0.4921,0.5594,0.4477,0.4692,0.3059,0.5045,0.5042,0.4989,2.6068,17.33,0.5308
0.12,0.4929,0.5604,0.4476,0.471,0.3064,0.5052,0.505,0.4996,2.5978,17.38,0.529
0.13,0.4938,0.5616,0.4476,0.4746,0.3076,0.5059,0.5057,0.5003,2.5866,17.45,0.5254
0.14,0.4942,0.5622,0.4473,0.4764,0.3076,0.5063,0.5061,0.5007,2.579,17.48,0.5236
0.15,0.4947,0.5628,0.4472,0.4764,0.3078,0.5068,0.5066,0.5012,2.5713,17.5,0.5236
0.16,0.4952,0.5637,0.4469,0.4801,0.3077,0.5072,0.5071,0.5015,2.5631,17.57,0.5199
0.17,0.4957,0.5643,0.4467,0.4801,0.308,0.5077,0.5076,0.5019,2.5563,17.59,0.5199
0.18,0.4961,0.565,0.4466,0.4801,0.3088,0.508,0.508,0.5023,2.5512,17.6,0.5199
0.19,0.4965,0.5655,0.4464,0.4819,0.3102,0.5083,0.5083,0.5027,2.5457,17.62,0.5181
0.2,0.497,0.5662,0.4463,0.4837,0.311,0.5087,0.5087,0.503,2.5405,17.63,0.5163
0.21,0.4974,0.5668,0.4464,0.4855,0.3113,0.5091,0.5092,0.5034,2.5355,17.69,0.5145
0.22,0.4978,0.5673,0.4462,0.4873,0.3124,0.5094,0.5095,0.5036,2.5289,17.75,0.5127
0.23,0.4983,0.568,0.4461,0.4891,0.3124,0.5098,0.5099,0.504,2.5236,17.77,0.5109
0.24,0.4987,0.5686,0.446,0.4891,0.313,0.5102,0.5103,0.5044,2.5187,17.8,0.5109
0.25,0.4991,0.5691,0.4458,0.4891,0.3119,0.5107,0.5107,0.5049,2.5135,17.82,0.5109
