s1_entity_id,country,has_true_pair,num_true_matches,true_target_sources,true_target_ids,name_raw,addr_raw,name_normalized,addr_normalized,routes_attempted,nearest_gt_name_similarity,category
S1-601964566,India,False,0,,,Sea Holdings,"No 11A, Kurinji Apartments, Flat 2C M.G.",sea holdings,number 11a kurinji apartments flat 2c m ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-510465376,India,True,3,"S3,S2","S3-741279068,S3-212246511,S2-44892425",Systems Fine Imaging,"Plot No.53B, Dabar Enclave, Rawta More, ",systems fine imaging,plot number 53b dabar enclave rawta more,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-765135157,India,True,6,"S2,S3","S2-252796927,S3-597879727,S2-545425923,S3-117874415,S3-258482529,S2-638412103",Industries Public School,"Shop S-2, Manish Twin Plaza Plot No 2 Se",industries public school,shop s 2 manish twin plaza plot number 2,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-980718986,India,True,2,S2,"S2-56059408,S2-941736031",Ultra Industries Group Ltd,"Delhi, 1St Floor, Amberhai Extension, Se",ultra industries group limited,delhi 1st floor amberhai extension secto,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-491142286,India,False,0,,,Indigo Art Private Limited,"Karnataka, Bangalore, Bangalore North, 2",indigo art private limited,karnataka bangalore bangalore north 206 ,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-510160219,India,True,4,"S3,S2","S3-418048828,S2-210747227,S3-405913794,S3-297144391",Eagle Travels (India) Private Limited,S No 43 Pl No 103 Navsahyadri Soc Karven,eagle travels india private limited,s number 43 place number 103 navsahyadri,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-724416913,India,True,2,S3,"S3-473380532,S3-552649056",Hill Hotels (India) Pvt Ltd,"Khatod Plaza 2Nd Floor, No-4, Nsc Bose R",hill hotels india private limited,khatod plaza 2nd floor number 4 nsc bose,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",96.3,B_True_Matched_Retrieval_Failure
S1-792773808,India,False,0,,,Apex Big Engineering Private Limited,"C/8, Sapteshwar Co Op H, Soc, B/H Navran",apex big engineering private limited,c 8 sapteshwar co op h soc b h navrang t,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-142377942,India,True,1,S3,S3-761775241,Technologies Express India Ltd,"Thanjavur, Patukottai, Pilavadikollai, D",technologies express india limited,thanjavur patukottai pilavadikollai door,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-14882683,India,True,3,S3,"S3-714402858,S3-481245286,S3-275794485",Om Ram Finance Private Limited,"No. 151, 3Rd Cross, Kalyan, Hampinagar, ",om ram finance private limited,number 151 3rd cross kalyan hampinagar r,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",92.86,B_True_Matched_Retrieval_Failure
S1-980838199,India,False,0,,,Foundation Steel India LLP,"Delhi, New Delhi, South Delhi, C/O Mr. S",foundation steel india limited liability,delhi new delhi south delhi c o mr suvid,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-664118931,US,True,1,S3,S3-322821292,Southern Total Culture Center,"IN, 3078 Watergate Road, Indianapolis",southern total culture center,in 3078 watergate road indianapolis,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",38.1,B_True_Matched_Retrieval_Failure
S1-298188480,India,True,2,S2,"S2-770984213,S2-220378532",Properties Foods Limited,"Plot No 94, Jigani Ii Phase Industrial A",properties foods limited,plot number 94 jigani ii phase industria,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",90.91,B_True_Matched_Retrieval_Failure
S1-252065809,India,True,1,S2,S2-435291100,Technical Group,"No. 15, 16, 1St Main Road, Pragathi Layo",technical group,number 15 16 1st main road pragathi layo,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",100.0,B_True_Matched_Retrieval_Failure
S1-700671220,US,True,3,"S2,S3","S2-37190422,S3-65880415,S2-623627391",Mutual Cargo Studios Inc,"IL, 838 State Street, Springfield",mutual cargo studios incorporated,il 838 state street springfield,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",74.51,B_True_Matched_Retrieval_Failure
S1-405076116,India,False,0,,,Guru Manufacturing,"Maharashtra, Commerz Iii International B",guru manufacturing,maharashtra commerz iii international bu,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",0.0,A_True_Singleton
S1-541550729,India,True,1,S3,S3-670135064,Gujarat My It Private Limited,"# 1583, Samhita, 13Th Main, 20Th Cross B",gujarat my it private limited,1583 samhita 13th main 20th cross b bloc,"exact_name,exact_address,name_sig,addr_sig,rare_tokens",94.55,B_True_Matched_Retrieval_Failure
